Timestamp,Redemption Count,Sales Count,Date,Year,Month,Hour,Minute,Day_of_Week_Num,Day_of_Week,Is_Weekend,Is_Off_Season,Net_Queue_Change
2015-05-05 16:15:00,31,0,2015-05-05,2015,5,16,15,1,Tuesday,0,0,-31
2015-05-05 17:15:00,3,0,2015-05-05,2015,5,17,15,1,Tuesday,0,0,-3
2015-05-05 19:00:00,0,22,2015-05-05,2015,5,19,0,1,Tuesday,0,0,22
2015-05-05 19:15:00,0,12,2015-05-05,2015,5,19,15,1,Tuesday,0,0,12
2015-05-05 19:30:00,24,0,2015-05-05,2015,5,19,30,1,Tuesday,0,0,-24
2015-05-05 20:00:00,0,3,2015-05-05,2015,5,20,0,1,Tuesday,0,0,3
2015-05-05 20:15:00,0,2,2015-05-05,2015,5,20,15,1,Tuesday,0,0,2
2015-05-05 20:30:00,0,1,2015-05-05,2015,5,20,30,1,Tuesday,0,0,1
2015-05-05 21:15:00,0,4,2015-05-05,2015,5,21,15,1,Tuesday,0,0,4
2015-05-05 21:30:00,1,1,2015-05-05,2015,5,21,30,1,Tuesday,0,0,0
2015-05-05 21:45:00,3,0,2015-05-05,2015,5,21,45,1,Tuesday,0,0,-3
2015-05-06 07:30:00,0,27,2015-05-06,2015,5,7,30,2,Wednesday,0,0,27
2015-05-06 07:45:00,0,1,2015-05-06,2015,5,7,45,2,Wednesday,0,0,1
2015-05-06 08:00:00,0,1,2015-05-06,2015,5,8,0,2,Wednesday,0,0,1
2015-05-06 08:15:00,0,22,2015-05-06,2015,5,8,15,2,Wednesday,0,0,22
2015-05-06 08:30:00,1,28,2015-05-06,2015,5,8,30,2,Wednesday,0,0,27
2015-05-06 08:45:00,7,2,2015-05-06,2015,5,8,45,2,Wednesday,0,0,-5
2015-05-06 09:00:00,0,12,2015-05-06,2015,5,9,0,2,Wednesday,0,0,12
2015-05-06 09:15:00,22,6,2015-05-06,2015,5,9,15,2,Wednesday,0,0,-16
2015-05-06 09:30:00,0,7,2015-05-06,2015,5,9,30,2,Wednesday,0,0,7
2015-05-06 09:45:00,0,5,2015-05-06,2015,5,9,45,2,Wednesday,0,0,5
2015-05-06 10:00:00,14,16,2015-05-06,2015,5,10,0,2,Wednesday,0,0,2
2015-05-06 10:15:00,13,26,2015-05-06,2015,5,10,15,2,Wednesday,0,0,13
2015-05-06 10:30:00,0,36,2015-05-06,2015,5,10,30,2,Wednesday,0,0,36
2015-05-06 10:45:00,28,45,2015-05-06,2015,5,10,45,2,Wednesday,0,0,17
2015-05-06 11:00:00,0,32,2015-05-06,2015,5,11,0,2,Wednesday,0,0,32
2015-05-06 11:15:00,88,36,2015-05-06,2015,5,11,15,2,Wednesday,0,0,-52
2015-05-06 11:30:00,3,56,2015-05-06,2015,5,11,30,2,Wednesday,0,0,53
2015-05-06 11:45:00,46,53,2015-05-06,2015,5,11,45,2,Wednesday,0,0,7
2015-05-06 12:00:00,30,18,2015-05-06,2015,5,12,0,2,Wednesday,0,0,-12
2015-05-06 12:15:00,0,5,2015-05-06,2015,5,12,15,2,Wednesday,0,0,5
2015-05-06 12:30:00,0,28,2015-05-06,2015,5,12,30,2,Wednesday,0,0,28
2015-05-06 12:45:00,116,25,2015-05-06,2015,5,12,45,2,Wednesday,0,0,-91
2015-05-06 13:00:00,0,15,2015-05-06,2015,5,13,0,2,Wednesday,0,0,15
2015-05-06 13:15:00,0,28,2015-05-06,2015,5,13,15,2,Wednesday,0,0,28
2015-05-06 13:30:00,36,11,2015-05-06,2015,5,13,30,2,Wednesday,0,0,-25
2015-05-06 13:45:00,5,30,2015-05-06,2015,5,13,45,2,Wednesday,0,0,25
2015-05-06 14:00:00,15,61,2015-05-06,2015,5,14,0,2,Wednesday,0,0,46
2015-05-06 14:15:00,13,66,2015-05-06,2015,5,14,15,2,Wednesday,0,0,53
2015-05-06 14:30:00,0,69,2015-05-06,2015,5,14,30,2,Wednesday,0,0,69
2015-05-06 14:45:00,88,54,2015-05-06,2015,5,14,45,2,Wednesday,0,0,-34
2015-05-06 15:00:00,0,56,2015-05-06,2015,5,15,0,2,Wednesday,0,0,56
2015-05-06 15:15:00,0,79,2015-05-06,2015,5,15,15,2,Wednesday,0,0,79
2015-05-06 15:30:00,105,13,2015-05-06,2015,5,15,30,2,Wednesday,0,0,-92
2015-05-06 15:45:00,45,48,2015-05-06,2015,5,15,45,2,Wednesday,0,0,3
2015-05-06 16:00:00,0,15,2015-05-06,2015,5,16,0,2,Wednesday,0,0,15
2015-05-06 16:15:00,0,16,2015-05-06,2015,5,16,15,2,Wednesday,0,0,16
2015-05-06 16:30:00,39,57,2015-05-06,2015,5,16,30,2,Wednesday,0,0,18
2015-05-06 16:45:00,19,5,2015-05-06,2015,5,16,45,2,Wednesday,0,0,-14
2015-05-06 17:00:00,33,10,2015-05-06,2015,5,17,0,2,Wednesday,0,0,-23
2015-05-06 17:15:00,0,25,2015-05-06,2015,5,17,15,2,Wednesday,0,0,25
2015-05-06 17:30:00,0,36,2015-05-06,2015,5,17,30,2,Wednesday,0,0,36
2015-05-06 17:45:00,0,23,2015-05-06,2015,5,17,45,2,Wednesday,0,0,23
2015-05-06 18:00:00,0,16,2015-05-06,2015,5,18,0,2,Wednesday,0,0,16
2015-05-06 18:15:00,56,51,2015-05-06,2015,5,18,15,2,Wednesday,0,0,-5
2015-05-06 18:30:00,67,21,2015-05-06,2015,5,18,30,2,Wednesday,0,0,-46
2015-05-06 18:45:00,34,9,2015-05-06,2015,5,18,45,2,Wednesday,0,0,-25
2015-05-06 19:00:00,0,6,2015-05-06,2015,5,19,0,2,Wednesday,0,0,6
2015-05-06 19:15:00,1,13,2015-05-06,2015,5,19,15,2,Wednesday,0,0,12
2015-05-06 19:30:00,33,0,2015-05-06,2015,5,19,30,2,Wednesday,0,0,-33
2015-05-06 20:00:00,0,5,2015-05-06,2015,5,20,0,2,Wednesday,0,0,5
